id_candidato,nombre,id_distrito_postulacion,especie
569839,Anahi,26,Numbat
552226,Handy,27,Estrella fragil
438142,Ingeborg,27,Manati
48953,Palmer,27,Caracol de tierra
562838,Willia,28,Aguila
795165,Maxim,28,Pinguino
293946,Harvy,28,Anguila
860004,Bea,29,Tortuga de orejas rojas
905564,Sharen,29,Tortuga de orejas rojas
461579,Antwon,30,Caracol de agua dulce
466025,Alpheus,30,Elefante marino
214037,Dona,30,Tarantula Goliat
680771,Hassie,31,Caracol de tierra
406617,Shara,31,Wombat
952788,Ginny,31,Mosca
539105,Karyl,32,Oso negro
691422,Ambers,32,Ciervo
729553,Leoma,33,Tejon
718314,Rico,33,Murcielago
185244,Trina,33,Galago
103257,Kayli,34,Guepardo
329546,Maxie,34,Manati de tierra
436473,Jethro,34,Gallina
289615,Matteo,35,Guepardo
65962,Gino,35,Rinoceronte
245136,Christian,35,Caracol de mar
24139,Anissa,36,Lobo
386186,Kimora,36,Wombat
214785,Aurelio,36,Pez sierra
674588,Keri,37,Murcielago
136711,Loda,37,Delfin
508621,Tamie,38,Camaron
331048,Stefani,38,Pez halcon
272239,Jess,38,Caracol marino
781010,Davey,39,Nu
556806,Krysta,39,Buho
756965,Crawford,39,Erizo
392113,Kelli,40,Oso polar
179048,Doss,40,Tiburon blanco
500069,Brandi,41,Orca
788128,Deliah,41,Neque
184819,Audy,42,Aye-aye
192945,Susanne,42,Lagarto
572048,Barton,42,Manta
646927,Cathey,43,Carpa
605111,Amber,43,AraNa cangrejo
617338,Nila,44,Ciervo almizclero
398213,Nathaniel,44,Manati de tierra
440358,Aggie,44,Mariposa monarca
636402,Kathlene,45,Nutria
57404,Daniele,45,Nutria gigante
455399,Hoover,45,Orca
582661,Jamya,46,Cangrejo yeti
739568,Rory,46,Raya
565385,Steward,46,Gato
831035,Tatianna,47,Narval
709741,Loreen,47,Colibri
960122,Yehuda,47,Cocodrilo del Nilo
543462,Effie,48,Tortuga marina
729273,Chaka,48,Oryx
951962,Lon,49,Escorpion
893085,Kyle,49,Rinoceronte
90434,Pearl,49,Langosta
130201,Edmond,50,Pez espada
954024,Magdalene,50,Rinoceronte
661131,Albertina,50,Tiburon martillo
668865,Mellissa,51,Avestruz
205866,Brenda,51,Rata
26801,Rayburn,52,Esturion
161001,Winford,52,Salamandra gigante
506441,Storm,52,Armadillo gigante
114546,Maxine,53,Pez leon
841057,Chanda,53,Oso negro
372841,Dax,54,Numbat
156003,Halie,54,Mariposa Morpho
380401,Wendell,55,Buho
113276,Paralee,55,Pez espada
793040,Horton,56,Tiburon martillo
513071,Lizabeth,56,Renacuajo
92210,Deondre,56,Tarantula Goliat
448998,Selmer,57,Ocelote
240379,Simpson,57,Estrella fragil
64458,Emry,57,Mantarraya
31875,Franz,58,Manati de tierra
940053,Somer,58,Tejon
2459,Lizabeth,58,Kanguro rojo
67830,Manervia,59,Mosquito
812078,Camille,59,Gato
368835,Hope,59,Babosa
603161,Jada,60,Neque
634096,Kelli,60,Escarabajo rinoceronte
389012,Jaime,61,Pez mariposa
1643,Jacquelynn,61,Orangutan
735714,Jereme,61,Serpiente
820982,Bee,62,Oso negro
271961,Vada,62,Oryx
521604,Alesia,62,Cangrejo de mar
771730,Zachery,63,Carpa
957345,Stacey,63,Wallaby
823286,Leopold,63,Coati
672497,Theresa,64,Caballito de mar
751617,Irvine,64,Langosta espinosa
182763,Amani,64,Canario
292164,Sally,65,Mariposa monarca
452239,Sal,65,Esturion
174262,Alison,66,Escarabajo rinoceronte
190974,Nilda,66,Escarabajo ciervo
84068,Fidencio,67,Pez dorado
128532,Davon,67,Pez cirujano
731598,Florian,68,Pangolin
814828,Champ,68,Hormiga reina
169401,Georgie,69,Tarantula Goliat
377712,Ennis,69,Mantarraya
705943,Adline,70,Pez mariposa
473510,Brennon,70,Cocodrilo
418805,Lonny,71,Cocodrilo de agua salada
228541,Eldora,71,Camello
