id,nombre,especie,id_comuna,peso_kg,edad,fecha_nacimiento
37,Eli,Renacuajo,278,0.00077,44,1980/10
38,Glennis,Tortuga de agua,3,31.25,37,1987/10
39,Etter,Aye-aye,100,2.4,58,1966/5
40,Cecelia,Mantarraya,226,740.0,26,1998/10
41,Jackeline,Medusa,256,1.08,55,1969/5
42,Alec,Panda,13,102.0,81,1942/4
43,Effie,Erizo,87,0.7,47,1976/4
44,Queenie,Anguila,100,3.95,25,1998/3
45,Peggie,Estrella de mar,188,0.6,12,2012/12
46,Loyal,Escarabajo rinoceronte,222,0.0182,38,1986/7
47,Barbara,Pez mariposa,249,0.079,21,2003/5
48,Stuart,Gacela de Thomson,41,29.7,54,1970/9
49,Roddy,Pez dorado,224,0.133,98,1925/4
50,Ashanti,Delfín nariz de botella,206,144.0,83,1940/3
51,Dorathy,Alpaca,265,43.55,73,1951/5
52,Verlyn,Rana,261,0.285,22,2002/9
53,Dorian,Pez globo,180,1.28,50,1973/1
54,Pranav,Hormiga,30,0.00121,95,1928/1
55,Janis,Tiburón martillo,94,444.0,61,1963/8
56,Roderic,Caracol de jardín,71,0.133,51,1973/5
57,Garnet,Tortuga,133,11.44,83,1940/1
58,Jane,Salamandra gigante,81,0.76,92,1932/9
59,Amara,Caracol de jardín,95,0.123,21,2002/4
60,Leah,Pez loro,131,0.246,17,2007/12
61,Goldie,Luciérnaga,308,4e-05,44,1980/11
62,Doris,Tejón,32,17.52,12,2011/3
63,Clementina,Ciempiés gigante,119,0.055,9,2015/7
64,Ward,Nutria,125,4.15,98,1925/3
65,Harry,Berrendo,70,54.8,103,1921/11
66,Sharday,Cocodrilo de agua salada,91,890.0,69,1954/4
67,Lorinda,Petauro del azúcar,295,0.0765,66,1958/9
68,Olen,Leopardo marino,277,585.0,96,1928/11
69,Camisha,Panda,71,131.0,96,1928/7
70,Augustus,Tortuga de tierra,246,64.0,61,1963/12
71,Lavada,Renacuajo,108,0.00118,68,1955/4
72,Mannie,Lobo,289,24.6,74,1949/4
73,Victoriano,Cocodrilo de agua salada,328,850.0,39,1985/8
74,Ancel,Zorro volador,6,0.64,10,2013/1
75,Keshaun,Pez espada,315,146.0,72,1952/12
76,Solomon,Berrendo,131,31.6,1,2023/11
77,Rayford,Comadreja,155,0.142,98,1925/2
78,Al,Tiburón martillo,68,232.0,59,1965/11
79,Clara,Perro,220,36.5,19,2005/8
80,Hedwig,Tortuga de caja,56,0.68,76,1947/1
81,Joetta,Búho,17,1.03,91,1933/11
82,Jaymes,Nutria gigante,238,21.3,93,1931/5
83,Tanner,Tarántula,79,0.192,25,1998/3
84,Price,Cangrejo yeti,292,3.95,56,1968/6
85,Ewald,Luciérnaga,160,8e-05,23,2001/11
86,Isis,Ciervo de cola blanca,273,208.0,19,2005/7
87,Claude,Tigre,64,305.8,98,1926/12
88,Luisa,Tarántula Goliat,318,0.25,79,1944/2
89,Loretta,Ciervo de cola blanca,124,160.0,79,1945/9
90,Jep,Tejón,112,14.52,56,1968/11
91,Zachary,Langosta espinosa,337,1.22,62,1962/5
92,Stefan,Estrella frágil,135,0.078,22,2002/8
93,Gay,Tortuga marina,190,288.0,45,1979/7
94,Lexi,Gecko,61,0.071,34,1990/8
95,Ernst,Llama,116,81.0,60,1964/9
96,Shreya,Coati,292,7.8,31,1992/2
97,Johanna,Langosta,248,0.525,67,1957/12
98,Columbus,Ciempiés gigante,9,0.078,11,2013/11
99,Ebenezer,Tapir,192,277.5,88,1936/7
100,Barnie,Renacuajo,207,0.00142,26,1997/3
101,Dominga,Tortuga de tierra,165,55.0,46,1978/6
102,Jacquez,Estrella frágil,78,0.09,59,1965/7
103,Veta,Pato,16,0.975,27,1997/10
104,Addisyn,Cocodrilo de agua salada,67,530.0,55,1969/6
105,Estefania,Erizo,302,0.65,94,1929/2
106,Zebulon,Kanguro rojo,265,53.35,83,1940/4
107,Darrien,Escarabajo rinoceronte,313,0.087,39,1984/2
108,Adel,Castor,321,24.75,62,1961/3
109,Esker,Pangolín,27,8.76,26,1998/5
110,Hobert,Tiburón,193,665.0,8,2016/11
111,Natosha,Comadreja,94,0.178,42,1981/1
112,Bonnie,Tarántula Goliat,265,0.234,43,1980/2
113,Hosteen,Tarántula,42,0.198,39,1985/10
114,Marietta,Pez cirujano,164,0.72,28,1996/12
115,Lillianna,Petauro del azúcar,244,0.1695,69,1955/9
116,Daryn,Tapir,40,322.5,48,1976/7
117,Jennie,Tiburón,163,575.0,2,2022/12
118,Mariano,Trucha,60,0.95,30,1994/6
119,Retta,Manatí,266,596.0,64,1959/2
120,Jamari,Hormiga reina,117,0.0007,20,2004/10
121,Helga,Cangrejo yeti,77,4.05,58,1966/6
122,Leona,Ballena piloto,235,7840.0,56,1968/7
123,Darell,Pez payaso,63,0.028,38,1986/7
124,Mandy,Puercoespín,276,5.5,60,1964/6
125,Selina,Raya,278,137.0,7,2017/10
126,Bryana,Rana,253,0.309,99,1925/7
127,Tevin,Nutria de río,342,9.3,19,2005/6
128,Ernst,Cocodrilo,23,520.0,96,1928/10
129,Codie,Suricata,113,0.87,7,2017/6
130,Minervia,Rinoceronte,168,3082.0,25,1999/12
131,Claud,Cerdo,295,102.3,43,1981/9
132,Susann,Hormiga reina,342,0.00134,24,2000/12
133,Echo,Elefante,301,2950.0,42,1982/11
134,Donell,Antílope,342,82.0,9,2015/7
135,Kali,Mariposa monarca,172,0.0015,62,1961/1
136,Almer,Búho,77,0.9,53,1970/3
137,Joseph,Alpaca,49,81.9,61,1962/4
138,Keyla,Ballena piloto,160,11040.0,103,1921/10
139,Nanci,Delfín,173,226.0,71,1953/8
140,Lilah,Tejón,231,7.8,73,1951/7
141,Ely,Pez globo,169,0.83,61,1963/6
142,Charlotte,Perro,224,30.25,96,1928/6
143,Ellyn,Perro,170,31.0,76,1948/8
144,Toccara,Oso polar,97,454.5,79,1945/6
145,Theresia,Pez espada,214,79.0,35,1989/8
146,Lydell,Cangrejo de río,19,0.565,77,1947/9
147,Taryn,Cangrejo de mar,243,1.05,3,2021/7
148,Junius,Pulpo de anillos azules,102,2.94,92,1932/11
149,Mertie,Kanguro rojo,157,59.4,85,1939/11
150,Ahmad,Saltamontes,112,0.00088,83,1941/6
151,Lelah,Pez león,293,0.54,104,1920/6
152,Kierra,Búho,53,1.11,37,1987/11
153,Jamari,Pez ángel,25,0.384,17,2007/8
154,Coleen,Nutria marina,225,37.35,61,1963/6
155,Roland,Estrella de mar,298,0.272,48,1975/4
156,Donie,Langosta espinosa,336,1.0,68,1955/4
157,Ruben,Jirafa,78,1656.0,70,1954/6
158,Janyce,Trucha,107,1.06,26,1998/8
159,Mikaela,Burro,110,300.0,19,2004/4
160,Niles,Renacuajo,105,0.00111,23,2001/8
161,Weston,Tejón,322,7.56,27,1997/11
162,Medora,Cocodrilo,173,415.0,77,1946/2
163,Christ,Tortuga de orejas rojas,56,0.425,65,1959/7
164,Archibald,Gálago,134,0.05,77,1946/1
165,Loula,Caballito de mar,178,0.00065,71,1952/1
166,Teressa,Koala,299,20.44,28,1996/8
167,Garland,Wallaby,161,17.8,86,1937/4
168,Ferris,Mosca,37,0.00014,47,1976/3
169,Margarito,Panda,122,122.0,50,1973/2
170,Kerri,Pez ángel,135,0.291,43,1981/11
171,Jaron,Cabra,229,36.9,42,1981/3
172,Belle,Camello,193,666.0,40,1983/2
173,Alexander,Cangrejo de mar,50,1.34,72,1951/3
174,Kendra,Cigarra,271,0.0012,15,2009/10
175,Markel,Pato,57,1.815,74,1950/5
176,Harmon,Erizo,229,1.34,21,2003/7
177,Alston,Rana,191,0.198,74,1949/1
178,Enrique,Armadillo,304,7.84,75,1949/9
179,Hildred,Caracol de agua dulce,281,0.045,84,1939/3
180,Jada,Hormiga,173,0.00134,24,1999/3
181,Marland,Antílope,48,80.0,92,1932/5
182,Isabelle,Bagre,97,2.36,93,1930/4
183,Tori,Pez payaso,167,0.0298,95,1929/7
184,Lakisha,Saltamontes,48,0.00094,76,1947/3
185,Ann,Tarántula,111,0.178,4,2020/5
186,Holli,Tarántula,297,0.248,68,1956/7
187,Colon,Langosta,174,0.27,59,1965/10
188,Gaige,Salamandra gigante,261,1.4,90,1934/7
189,King,Numbat,139,0.228,74,1950/6
190,Salena,Cangrejo yeti,327,4.65,78,1946/7
191,Olivia,Petauro del azúcar,186,0.1995,79,1944/1
192,Jesse,Castor,342,18.5,28,1996/12
193,Imogene,Dorado,261,19.8,91,1932/4
194,Caddie,Araña,196,0.00234,60,1964/6
195,Agatha,Pulpo,119,3.7,5,2019/5
196,Toney,Bisonte,232,888.0,87,1936/1
197,Rance,Pez globo,266,0.64,73,1951/9
198,Keion,Jirafa,322,1704.0,57,1966/2
199,Jordon,Alpaca,287,68.25,103,1921/10
200,Maiya,Caracol de tierra,122,0.0077,53,1971/9
201,Kirt,Ñandú,74,20.0,34,1990/5
202,Victoriano,Mariposa Morpho,233,0.0154,32,1991/2
203,Bess,Pez globo,179,0.74,9,2014/4
204,Mansfield,Libélula,49,0.001,49,1975/5
205,Shelva,Salamandra gigante,225,1.25,3,2020/1
206,Candice,Águila calva,295,7.38,63,1961/10
207,Alfred,Lagarto,332,0.275,41,1983/7
208,Arrie,Estrella de mar,177,0.126,65,1959/10
209,Carroll,Gacela,321,42.5,32,1992/8
210,Michelina,Conejo,270,3.1,7,2016/3
211,Rudolfo,Petauro del azúcar,154,0.18,22,2001/2
212,Helyn,Tiburón blanco,197,1184.0,98,1926/9
213,Octavie,Langosta espinosa,93,1.9,23,2001/9
214,Jerri,Escarabajo,13,0.0228,14,2010/10
215,Krystle,Cangrejo ermitaño,227,0.085,13,2011/10
216,Myrta,Salamandra,90,0.128,62,1962/8
217,Vennie,Castor,279,26.0,16,2008/10
218,Rhys,Anguila,288,6.25,95,1929/5
219,Elihu,Salamandra gigante,235,1.2,60,1963/4
220,Inger,Pingüino emperador,88,42.0,18,2006/8
221,Siena,Orangután,250,92.25,63,1961/8
222,Jacob,Pez cirujano,143,0.715,40,1984/8
223,Elsie,Tigre,143,173.8,103,1921/9
224,Amarion,Medusa,193,0.72,31,1993/11
225,Regina,Ñandú,158,16.5,45,1979/11
226,Alwilda,Carpa,9,4.08,6,2018/7
227,Zena,Cigarra,255,0.00162,94,1930/8
228,Laurence,Saltamontes,300,0.0008,61,1963/11
229,Alonzo,Pez león,26,1.16,15,2009/8
230,Romona,Ballena azul,323,142500.0,75,1949/8
231,Gretta,Suricata,11,0.885,24,1999/4
232,Delina,Zorro,73,4.08,12,2012/12
233,Sunshine,Caracol de mar,311,0.0325,10,2014/6
234,Deann,Tortuga de tierra,199,124.0,2,2022/6
235,Landin,Cangrejo yeti,174,4.25,50,1974/5
236,Linwood,Castor,233,19.75,53,1971/5
237,Chance,Carpa,166,3.76,39,1984/1
238,Add,Avestruz,196,151.5,97,1926/3
239,Hays,Estrella de mar,236,0.325,19,2004/3
240,Marc,Ciempiés gigante,126,0.122,99,1925/9
241,Johannah,Tortuga de caja,196,0.52,98,1926/11
242,Noah,Colibrí,47,0.00268,98,1925/1
243,Franklyn,Ciervo,247,136.8,44,1980/5
244,Lolita,Leopardo marino,38,648.0,3,2021/7
245,Catina,Avestruz,202,126.0,68,1956/5
246,Obie,Nutria,286,5.4,68,1956/9
247,Budd,Tapir,247,272.5,80,1943/2
248,Jannette,Cisne,246,6.0,36,1988/7
249,Patric,Alce,21,472.0,62,1962/8
250,Cyril,Escorpión,208,0.0555,75,1949/8
251,Lott,Rana,316,0.378,43,1981/10
252,Sinda,Raya,138,77.0,97,1927/11
253,Meredith,Cisne,86,11.7,102,1922/11
254,Sharyn,Hipopótamo,92,2220.0,39,1985/6
255,Rod,Gacela,213,56.5,18,2006/8
256,Anthoney,Caballito de mar,83,0.038,43,1980/4
257,Connor,Ñandú,230,26.75,48,1976/5
258,Milo,Puercoespín,326,2.7,14,2010/5
259,Maci,Erizo de tierra,148,0.395,9,2015/7
260,Loy,Gecko,199,0.134,21,2003/9
261,Joell,Berrendo,160,41.2,41,1983/9
262,Zariah,Grillo,224,0.00232,62,1962/5
263,Marco,Escarabajo ciervo,22,0.023,22,2002/9
264,Saul,Caracol marino,330,0.0635,56,1967/4
265,Oda,Tiburón,117,295.0,91,1932/4
266,Donie,Erizo de tierra,10,0.745,80,1943/4
267,Budd,Castor,131,34.0,57,1967/11
268,Malinda,Medusa,185,1.49,25,1999/10
269,Slade,Manatí,191,348.0,22,2001/1
270,Juliann,Gato,218,5.72,69,1955/11
271,Florrie,Mariposa monarca,257,0.00278,33,1991/9
272,Kizzy,Pez halcón,310,0.735,63,1961/10
273,Kylie,Salmón,265,6.7,102,1922/11
274,Naoma,Gecko,123,0.091,48,1975/3
275,Tillman,Pez ángel,201,0.396,29,1995/10
276,Ernestine,Petauro del azúcar,110,0.147,71,1952/1
277,Christel,Nutria,278,5.15,42,1982/7
278,Nevaeh,Serpiente,337,3.955,10,2014/10
279,Pernell,Ballena piloto,128,8400.0,18,2006/11
280,Kellee,Panda,279,54.0,40,1983/3
281,Yetta,Estrella espinosa,62,0.166,10,2013/3
282,Macel,Pez globo,309,1.17,88,1935/3
283,Foy,Suricata,99,1.98,87,1937/8
284,Kirby,Pez payaso,113,0.0274,48,1976/5
285,Sheree,Suricata,138,0.9,47,1977/10
286,Jerrilyn,Cocodrilo del Nilo,51,420.0,8,2015/4
287,Darion,Camarón,340,0.01,90,1934/11
288,Arizona,Jirafa,170,876.0,76,1948/7
289,Holland,Gecko,23,0.112,88,1936/10
290,Cullen,Ciervo almizclero,73,88.8,9,2014/3
291,Faith,Nutria marina,73,65.25,48,1976/5
292,Mandy,Camarón,68,0.0085,37,1986/2
293,Mitchell,Oryx,174,93.0,34,1990/7
294,Yvonne,Cocodrilo de agua salada,92,1460.0,29,1995/6
295,Holmes,Pez globo,120,1.18,11,2013/9
296,Vernelle,Zarigüeya,97,0.78,74,1949/3
297,Danae,Pez león,4,1.47,30,1993/2
298,Zana,Gálago,9,0.14,21,2002/4
299,Fernanda,Saltamontes,320,0.0009,10,2014/6
300,Ezequiel,Piraña,316,1.1,36,1988/11
301,Aaron,Ballena azul,78,118500.0,96,1927/4
302,Trenton,Escarabajo rinoceronte,294,0.0292,95,1929/5
303,Lula,Águila calva,202,6.06,101,1922/2
304,Ressie,Escarabajo,172,0.018,26,1997/2
305,Rinda,Langostino,175,0.15,1,2023/5
306,Celeste,Tarántula,149,0.214,101,1922/2
307,Falon,Ballena azul,310,175500.0,68,1956/10
308,Jessica,Delfín nariz de botella,306,126.0,48,1975/1
309,Casimer,Koala,235,10.5,33,1990/3
310,Chelsea,Tiburón martillo,269,588.0,23,2001/6
311,Anjelica,Erizo de mar,188,0.375,14,2010/12
312,Vessie,Cangrejo ermitaño,147,0.133,100,1923/2
313,Romeo,León,254,146.3,58,1965/2
314,Kenton,Alpaca,67,89.7,91,1932/3
315,Katrina,Rinoceronte,79,1840.0,95,1929/9
316,Torrence,Pavo real,262,3.6,33,1990/2
317,Dedra,Nutria gigante,280,32.4,35,1988/1
318,Mitzi,Langosta,266,0.385,100,1923/2
319,Dequan,Numbat,100,0.296,95,1929/7
320,Allean,Salamandra,275,0.102,59,1964/1
321,Blane,Grillo,28,0.00162,22,2002/7
322,Andrae,Escarabajo ciervo,48,0.021,14,2009/2
323,Adella,Tarántula,238,0.114,43,1981/5
324,Fielding,Llama,338,75.0,26,1998/6
325,Dorene,Gacela,292,44.5,36,1988/12
326,Lemmie,Pulpo,29,2.7,89,1934/3
327,Roxanna,Pez gato,163,1.96,17,2007/7
328,Rob,Estrella de mar,276,0.425,86,1938/7
329,Aarav,Rata,115,0.25,21,2003/10
330,Kimberlie,Pez loro,64,0.162,67,1957/8
331,Leila,Gacela de Thomson,215,33.3,11,2013/5
332,Elfreda,Ñeque,169,43.4,94,1929/3
333,Isabel,Pulpo de anillos azules,232,2.68,61,1963/8
334,Brandin,Tarántula Goliat,321,0.172,58,1965/1
335,Bette,Guepardo,68,85.2,46,1977/2
336,Lon,Ñu,16,163.2,98,1926/7
337,Roena,Panda,290,70.0,80,1943/3
338,Claudie,Erizo,125,0.94,40,1983/4
339,Regenia,Colibrí,74,0.00144,85,1939/10
340,Shakira,Lobo,275,27.9,56,1967/3
341,Paisley,Cangrejo de mar,76,0.61,61,1963/11
342,Deb,Cisne,38,12.5,28,1996/10
343,Fabiola,Delfín nariz de botella,307,122.0,16,2007/3
344,Serina,Colibrí,162,0.0029,101,1923/10
345,Zada,Saltamontes,233,0.00095,18,2005/1
346,Alvie,Gorila,22,120.6,72,1952/5
347,Denzell,Erizo de mar,169,0.27,45,1979/6
348,Luka,León,321,121.6,4,2019/2
349,Elgin,Caracol marino,116,0.03,27,1997/6
350,Theola,Trucha,218,0.71,19,2005/6
351,Delton,Tiburón martillo,304,388.0,79,1945/6
352,Thorwald,Mariposa monarca,236,0.0024,48,1975/2
353,Leslie,Pangolín,23,11.16,15,2009/10
354,Buren,Pez mariposa,52,0.145,29,1994/1
355,Trystan,Pato,299,0.855,38,1985/4
356,Efren,Gálago,297,0.101,0,2023/3
357,Laverne,Castor,24,23.5,96,1928/10
358,Harriett,Libélula,108,0.00288,21,2003/11
359,Ceola,Canario,92,0.0228,52,1971/2
360,Theo,Lémur,322,2.54,46,1977/2
361,Rian,Erizo de mar,300,0.365,75,1949/10
362,Brennon,Caracol de jardín,246,0.13,97,1926/3
363,Add,Dorado,327,9.15,18,2006/9
364,Haley,Abeja,14,0.102,22,2001/2
365,Erin,Pez payaso,12,0.0212,90,1933/1
366,Missy,Caracol de tierra,167,0.0119,20,2004/10
367,Jonell,Manatí de tierra,68,455.0,10,2013/2
368,Kenney,Tigre,169,160.6,18,2006/9
369,Zain,Libélula,150,0.00242,18,2006/12
370,Reynold,Murciélago,184,0.0165,48,1976/10
371,Nikole,Nutria gigante,207,28.5,8,2015/3
372,Glover,Pavo real,50,5.2,45,1978/1
373,Roxana,Bisonte,54,1120.0,32,1991/1
374,Job,Lémur,105,2.92,54,1969/4
375,Maxine,Cocodrilo del Nilo,3,380.0,16,2007/3
376,Risa,Delfín,281,244.0,31,1993/6
377,Chanelle,Pez globo,245,1.37,0,2023/4
378,Columbus,Pez loro,24,0.276,39,1984/4
379,Tai,Rata,189,0.615,74,1949/2
380,Jadiel,Pez sierra,130,396.0,64,1960/10
381,Maeve,Pez globo,268,0.63,8,2015/4
382,Inga,Erizo de mar,171,0.44,93,1930/1
383,Madilyn,Panda,304,52.0,5,2018/3
384,Jessika,Caracol de jardín,151,0.074,46,1978/8
385,Lorayne,Caracol de tierra,1,0.0106,38,1986/5
386,Saint,Pez globo,302,0.99,62,1962/11
387,Aspen,Erizo de tierra,122,0.675,9,2015/12
388,Nile,Numbat,293,0.256,43,1981/9
389,Grace,Kanguro rojo,72,67.1,62,1962/8
390,Deforest,Petauro del azúcar,144,0.0855,3,2020/2
391,Jazmine,Canguro,14,74.0,79,1945/9
392,Ewald,Estrella de mar,103,0.75,98,1926/7
393,Coley,Suricata,184,1.23,63,1960/2
394,Ivey,Ciervo,44,185.4,21,2003/12
395,Jimmie,Perro,208,34.0,90,1933/2
396,Juston,Gorila,65,262.8,2,2022/7
397,Jake,Narval,89,1980.0,70,1954/10
398,Lorinda,Tortuga de caja,150,1.34,83,1941/9
399,Reinaldo,Gacela de Thomson,203,44.1,48,1976/11
400,Marlana,Tiburón,198,370.0,97,1927/10
401,Wendel,Gálago,111,0.095,100,1924/6
402,Augustine,Trucha,108,1.16,84,1939/1
403,Shelby,Raya,50,119.0,35,1989/9
404,Jasmin,Murciélago,342,0.0405,104,1920/5
405,Trish,Estrella espinosa,92,0.24,22,2002/7
406,Leatha,Erizo de tierra,26,0.605,27,1996/3
407,Gloria,Leopardo marino,337,477.0,86,1938/10
408,Marti,Pez ángel,216,0.384,2,2022/8
409,Raquel,Hormiga reina,209,0.0008,6,2018/8
410,Porter,Erizo de mar,95,0.45,78,1945/2
411,Cade,Armadillo,328,10.96,102,1921/1
412,Kelvin,Mosca,245,0.00012,78,1946/9
413,Jennifer,Estrella de mar,293,0.162,72,1952/8
414,Jamila,Pingüino,115,11.25,67,1956/2
415,Kamora,Estrella de mar,41,0.284,14,2010/8
416,Wallace,Medusa,279,0.7,15,2009/10
417,Xiomara,Pez payaso,13,0.0242,61,1962/3
418,Cam,Pez mariposa,194,0.079,97,1927/6
419,Ione,Colibrí,149,0.00188,62,1962/5
420,Ariel,Gacela,68,29.5,45,1979/5
421,Keenan,Serpiente,47,4.935,13,2010/4
422,Christiana,Cebra,337,409.5,29,1994/4
423,Natalie,Burro,224,286.0,26,1997/4
424,Garold,Tortuga marina,20,294.0,76,1948/12
425,Kiya,Abeja,236,0.143,70,1954/11
426,Hetty,Manatí,33,480.0,86,1938/10
427,Nita,Zorro volador,332,0.395,53,1971/11
428,Shayna,Barracuda,328,3.8,52,1971/1
429,Tylor,Elefante marino,317,1344.0,62,1962/5
430,Alvie,Oso negro,193,205.2,68,1956/12
431,Bettyjane,Caracol de agua dulce,15,0.0297,25,1998/1
432,Brittaney,Búho,339,0.8,53,1971/12
433,Anice,Hipopótamo,323,1635.0,9,2014/1
434,Cathie,Llama,317,187.5,62,1962/9
435,Altie,Dorado,137,12.0,15,2008/1
436,Inez,Cangrejo ermitaño,160,0.059,58,1966/12
437,Harriette,Estrella frágil,221,0.068,22,2002/12
438,Cathey,Pulpo de anillos azules,276,2.1,47,1977/8
439,Chaney,Estrella de mar,318,0.104,38,1985/4
440,Danette,Manatí de tierra,307,423.5,30,1994/10
441,Elvia,Pez león,99,0.78,74,1949/1
442,Roxie,Leopardo marino,216,391.5,15,2008/3
443,Oakley,Gecko,330,0.106,25,1999/11
444,Skylar,Orangután,263,40.5,75,1948/2
445,Garnet,Gallina,12,3.575,46,1978/10
446,Amy,Tortuga de caja,229,1.15,44,1980/11
447,Jadon,Manatí,56,324.0,102,1921/2
448,Jaydon,Delfín nariz de botella,46,254.0,16,2008/11
449,Luke,Aye-aye,116,1.8,14,2010/6
450,Margery,Wombat,48,22.2,67,1956/1
451,Helena,Berrendo,164,46.8,29,1995/8
452,Geri,Alpaca,336,44.2,39,1985/5
453,Ron,Ñandú,35,32.25,6,2017/2
454,Kem,Búho,191,0.67,21,2002/4
455,Yair,Tortuga de caja,248,1.24,35,1988/3
456,Marva,Renacuajo,300,0.00118,78,1946/6
457,Wardell,Pangolín,37,6.84,13,2010/4
458,Elyssa,Cocodrilo del Nilo,116,740.0,65,1959/7
459,Alyse,Salmón,227,6.2,1,2022/4
460,Mariam,Erizo,335,0.98,72,1952/12
461,Angele,Leopardo marino,145,229.5,34,1990/6
462,Gearldine,Erizo de mar,71,0.33,16,2007/2
463,Bobbi,Lagarto,190,0.305,85,1939/5
464,Briana,Abeja,206,0.076,77,1947/12
465,Lillis,Erizo de mar,326,0.555,104,1920/6
466,Dell,Erizo de mar,6,0.725,18,2006/8
467,Yulisa,Zorro,57,6.54,53,1971/12
468,Brisa,Gecko,256,0.062,11,2012/3
469,Clevie,León,285,239.4,11,2013/6
470,Donia,Manta,186,1270.0,31,1992/2
471,Yandel,Ciervo,191,167.4,40,1984/11
472,Grace,Armadillo,15,9.04,58,1966/12
473,Ashlie,Mantarraya,194,1390.0,32,1992/9
474,Kaci,Tortuga de agua,26,37.25,44,1979/1
475,Maryjo,Kanguro rojo,240,40.15,26,1997/1
476,Yolonda,Saltamontes,172,0.00124,42,1982/11
477,Shea,Estrella frágil,315,0.082,31,1992/1
478,Mindi,Colibrí,217,0.00142,93,1931/10
479,Harmon,Raya,150,61.0,72,1951/4
480,Delpha,Erizo de mar,291,0.71,1,2022/1
481,Lissette,Jirafa,343,1224.0,21,2002/1
482,Ervin,Lobo,75,20.1,23,2001/7
483,Dean,Tarántula Goliat,149,0.196,34,1989/4
484,Elmire,Guepardo,242,30.6,39,1985/11
485,Maranda,Elefante,195,4200.0,12,2011/1
486,Karma,Delfín nariz de botella,62,280.0,10,2014/8
487,Sophie,Escarabajo Hércules,307,0.093,71,1953/6
488,Braxton,Pato,80,1.785,39,1985/6
489,Savion,Pingüino emperador,158,20.8,76,1948/9
490,Anthony,Tortuga,237,6.72,92,1932/10
491,Sharleen,Berrendo,152,34.8,77,1947/12
492,Maryann,Tarántula,125,0.138,101,1923/9
493,Leonard,Coati,43,3.36,88,1936/8
494,Mervyn,Kanguro rojo,133,66.55,103,1920/3
495,Kiya,Saltamontes,25,0.00078,18,2006/8
496,Eris,Tiburón blanco,201,1536.0,96,1928/11
497,Jill,Ocelote,19,17.16,84,1939/3
498,Annamarie,Mariposa Morpho,219,0.015,59,1964/1
499,Olar,Guepardo,282,89.4,26,1998/5
500,Crissy,Llama,177,166.5,10,2014/12
501,Eudora,Tortuga marina,342,282.0,4,2020/7
502,Yahaira,Petauro del azúcar,324,0.204,77,1947/12
503,Ceil,Caracol de jardín,13,0.112,31,1992/3
504,Mackenzie,Tapir,203,185.0,97,1927/11
505,Jasmyn,Mantarraya,16,1190.0,36,1987/2
506,Alby,Gallina,57,2.15,39,1985/10
507,Shaylee,Iguana,199,7.2,35,1989/11
508,Minerva,Dorado,244,18.75,73,1950/3
509,Carlo,Gecko,182,0.054,87,1937/6
510,Gaylord,Cangrejo de mar,155,1.47,54,1970/12
511,Merry,Estrella espinosa,41,0.122,3,2021/11
512,Marinda,Manta,244,1160.0,103,1920/2
513,Cassius,Cebra,325,544.5,53,1970/2
514,Purl,Esturión,33,60.0,90,1933/1
515,Esco,Castor,53,13.0,53,1970/1
516,Lyndsay,Pez león,73,0.94,1,2022/3
517,Prosper,Piraña,204,0.6,89,1934/4
518,Olaf,Pez globo,285,0.63,39,1984/2
519,Tisha,Perro,311,21.5,13,2010/3
520,Ena,Medusa,48,0.75,34,1989/3
521,Oakley,Pez globo,257,0.72,20,2004/8
